"uniquecarrier","total_flights","avg_delay"
"YV","67063","55.28704937920293"
"B6","55315","55.08873918980428"
"OH","52657","51.0169675709683"
"XE","103663","50.1812170979282"
"UA","141426","47.784399307329814"
"EV","81877","47.55425503290037"
"9E","51885","46.93649285423413"
"AA","191865","46.56155256403541"
"OO","132433","45.370587342540595"
"MQ","141920","45.29505817041134"
"NW","79108","43.91100034245272"
"FL","71284","43.68315743493638"
"CO","100195","40.56844912815474"
"DL","114238","39.881506752954415"
"US","98425","36.44501923332007"
"AS","39293","36.060881825173034"
"HA","7490","34.209448608137045"
"WN","377602","30.087883870590456"
"F9","28269","27.938952664399093"
"AQ","750","21.25537634408602"
